TAZ,Name,#Nodes,Area
197561,Westmount,30798,4290511.386332578
197569,Hampstead,14463,1896635.7127493802
1572820,Ville-Marie,238,94847.0306098148
1634158,Montréal,107726,18057809.889057986
5361655,Côte-Saint-Luc,24304,6963921.655320306
8805747,Le Sud-Ouest,3943,981093.1682816315
8806187,Côte-des-Neiges–Notre-Dame-de-Grâce,107896,20303465.569535542
9937184,Montagne,238,94847.0306098148
9945403,Savane,11040,2769475.6055889865
9945749,Édouard-Montpetit,2947,731767.9267033456
9945750,Snowdon,29621,2797495.509407541
9946197,Upper Lachine,13955,2470703.971184264
9946198,Loyola,4472,2144371.1890995377
9946199,Côte-Saint-Antoine,26425,2901973.6770650875
9948738,Saint-Henri,3943,981093.1682816315
